SNO,Protein A,Protein B,Co-Expression,Experimentally Determined Interaction,Automated Textmining,Combined Score,Disease Associated,BioGRID Interaction ID,Entrez Gene Interactor A,Entrez Gene Interactor B,BioGRID ID Interactor A,BioGRID ID Interactor B,Experimental System,Pubmed ID,Author
769,ARAF,SFN,0.067,0.771,0.414,0.864,Parkinson's,1105312,369,2810,106864,109072,Affinity Capture-MS,25852190,So J (2015)
770,MATR3,ILF3,0.067,0.43,0.765,0.864,Multiple Sclerosis,1445067,9782,3609,115126,109822,Affinity Capture-MS,26496610,Hein MY (2015)
771,APP,SRC,0.067,0.292,0.638,0.864,Alzheimers,1528154,351,6714,106848,112592,Affinity Capture-Western,19923279,Austin SA (2009)
772,FAM104A,VCP,0.06,0.862,0,0.864,Multiple Sclerosis,2723905,84923,7415,124358,113258,Two-hybrid,32296183,Luck K (2020)
773,DYNC1LI1,IKBKG,0.055,0.322,0.805,0.864,Multiple Sclerosis,721175,51143,8517,119327,114089,FRET,20026645,Horgan CP (2010)
774,HNRNPM,SNRPD3,0.7,0.44,0.264,0.865,Multiple Sclerosis,744133,4670,6634,110751,112518,Co-fractionation,22939629,Havugimana PC (2012)
775,HNRNPH1,U2AF1,0.676,0.292,0.458,0.865,Multiple Sclerosis,2872564,3187,7307,109428,113157,Affinity Capture-RNA,26760575,Uren PJ (2016)
776,HNRNPF,HNRNPH3,0.43,0.625,0.402,0.865,Multiple Sclerosis,828374,3185,3189,109426,109430,Two-hybrid,22365833,Hegele A (2012)
777,FUS,ILF2,0.147,0.594,0.643,0.865,Multiple Sclerosis,2644151,2521,3608,108797,109821,Affinity Capture-MS,29884807,Chi B (2018)
778,FMR1,EIF4G1,0.059,0.126,0.849,0.865,Parkinson's,2932702,2332,1981,108619,108296,Affinity Capture-MS,26949739,Li J (2015)
779,MARK2,MAPT,0,0.779,0.417,0.865,Parkinson's,956918,2011,4137,108326,110308,Biochemical Activity,24251416,Schwalbe M (2013)
780,RBMX,HNRNPA3,0.448,0.234,0.449,0.866,Multiple Sclerosis,3367191,27316,220988,118134,128670,Affinity Capture-MS,35271311,Cho NH (2022)
781,HSCB,LYRM4,0.109,0.407,0.768,0.866,Friedreich ataxia,2812165,150274,57128,127276,121391,Affinity Capture-MS,28380382,Maio N (2017)
782,HNRNPH2,HNRNPF,0.075,0.6,0.462,0.866,Multiple Sclerosis,1444889,3188,3185,109429,109426,Affinity Capture-MS,26496610,Hein MY (2015)
783,PSEN1,TRAF6,0.06,0.735,0.212,0.866,Alzheimers,718351,5663,7189,111642,113041,Affinity Capture-Western,18996842,Elzinga BM (2009)
784,YWHAG,PI4KB,0.049,0.493,0.744,0.866,Parkinson's,241456,7532,5298,113364,111316,Affinity Capture-MS,17353931,Ewing RM (2007)
785,BACE1,GGA2,0,0.638,0.318,0.866,Alzheimers,677201,23621,23062,117154,116697,Affinity Capture-Western,14567678,He X (2003)
786,CPSF6,HNRNPK,0.629,0.422,0.431,0.867,Multiple Sclerosis,3352351,11052,3190,116238,109431,Affinity Capture-MS,35271311,Cho NH (2022)
787,NONO,U2AF2,0.429,0.537,0.538,0.867,Multiple Sclerosis,611571,4841,11338,110904,116466,Affinity Capture-Western,21566083,Liu L (2011)
788,HSPA4,VCP,0.183,0.441,0.732,0.867,Parkinson's,438019,3308,7415,109540,113258,Affinity Capture-Western,16621797,Vij N (2006)
789,ABL1,YWHAG,0.087,0.767,0.427,0.867,Parkinson's,1023542,25,7532,106543,113364,Affinity Capture-MS,15696159,Yoshida K (2005)
790,HSPA4,RAF1,0.049,0.645,0.639,0.867,Parkinson's,869933,3308,5894,109540,111831,Affinity Capture-Western,16093354,Zhu J (2005)
791,ELAVL1,PCBP1,0.667,0,0.621,0.868,Multiple Sclerosis,664231,1994,5093,108309,111126,Affinity Capture-RNA,19322201,Abdelmohsen K (2009)
792,HNRNPL,HNRNPA0,0.666,0.451,0.335,0.868,Multiple Sclerosis,744912,3191,10949,109432,116149,Co-fractionation,22939629,Havugimana PC (2012)
793,HNRNPR,KHDRBS1,0.639,0.479,0.354,0.868,Multiple Sclerosis,746266,10236,10657,115530,115900,Co-fractionation,22939629,Havugimana PC (2012)
794,DHX9,SRSF3,0.626,0.211,0.589,0.868,Multiple Sclerosis,744081,1660,6428,108025,112326,Co-fractionation,22939629,Havugimana PC (2012)
795,FH,SUCLA2,0.44,0.161,0.606,0.868,Friedreich ataxia,2625029,2271,8803,108562,114331,Co-fractionation,31536960,Moutaoufik MT (2019)
796,HSPD1,LONP1,0.371,0.166,0.767,0.868,Friedreich ataxia,2559119,3329,9361,109561,114762,Proximity Label-MS,29568061,Liu X (2018)
797,FUS,SRSF1,0.221,0.216,0.682,0.868,Multiple Sclerosis,2644098,2521,6426,108797,112324,Affinity Capture-MS,29884807,Chi B (2018)
798,RPS9,MRPL49,0.121,0.856,0,0.868,Friedreich ataxia,3100727,6203,740,112117,107199,Affinity Capture-MS,33961781,Huttlin EL (2021)
799,CDK5,APP,0.042,0.096,0.86,0.868,Alzheimers,738618,1020,351,107455,106848,Reconstituted Complex,21832049,Olah J (2011)
800,SLC18A2,RAB3A,0,0.136,0.298,0.868,Parkinson's,3139392,6571,5864,112459,111802,Affinity Capture-MS,33961781,Huttlin EL (2021)
801,HNRNPA2B1,U2AF2,0.663,0.284,0.501,0.869,Multiple Sclerosis,3439995,3181,11338,109422,116466,Co-fractionation,35831314,Havugimana PC (2022)
802,SFPQ,KHDRBS1,0.638,0.224,0.572,0.869,Multiple Sclerosis,1263874,6421,10657,112319,115900,Co-fractionation,26344197,Wan C (2015)
803,SNRNP70,SFPQ,0.515,0.421,0.573,0.869,Multiple Sclerosis,2639183,6625,6421,112509,112319,Affinity Capture-MS,29802200,Bishof I (2018)
804,HNRNPA1,SAFB,0.514,0.615,0.356,0.869,Multiple Sclerosis,288269,3178,6294,109420,112201,Reconstituted Complex,10212141,Weighardt F (1999)
805,APOA1,ORM1,0.248,0.239,0.79,0.869,Alzheimers,2949157,335,5004,106832,111046,Affinity Capture-MS,24981860,Marcon E (2014)
806,FUS,HNRNPR,0.164,0.617,0.402,0.869,Multiple Sclerosis,2644149,2521,10236,108797,115530,Affinity Capture-MS,29884807,Chi B (2018)
807,STAT3,MMP1,0.055,0.226,0.686,0.869,Amyotrophic Lateral Sclerosis (ALS),2533449,6774,4312,112651,110456,Co-localization,25219839,Zheng LY (2014)
808,ILF3,SRSF3,0.769,0.205,0.35,0.87,Multiple Sclerosis,745634,3609,6428,109822,112326,Co-fractionation,22939629,Havugimana PC (2012)
809,FUS,DHX9,0.232,0.609,0.602,0.87,Multiple Sclerosis,2644152,2521,1660,108797,108025,Affinity Capture-MS,29884807,Chi B (2018)
810,VAPB,OSBPL2,0.11,0.803,0.319,0.87,Multiple Sclerosis,948234,9217,9885,114650,115216,Affinity Capture-MS,24885147,Baron Y (2014)
811,HNRNPU,TRA2B,0.644,0.213,0.323,0.871,Multiple Sclerosis,744819,3192,6434,109433,112332,Co-fractionation,22939629,Havugimana PC (2012)
812,ATG9A,ATG101,0.06,0.292,0.821,0.871,Multiple Sclerosis,3380471,79065,60673,122518,121948,Proximity Label-MS,34369648,Kannangara AR (2021)
813,TAX1BP1,TNIP1,0.056,0.618,0.672,0.871,Multiple Sclerosis,675543,8887,10318,114405,115602,Affinity Capture-Western,21885437,Gao L (2011)
814,IL2RB,STAT3,0.047,0.292,0.663,0.871,Amyotrophic Lateral Sclerosis (ALS),275215,3560,6774,109775,112651,Reconstituted Complex,10602027,Delespine-Carmagnat M (2000)
815,LRRK2,SH3GL1,0,0.524,0.74,0.871,Parkinson's,722625,120892,6455,125700,112352,Biochemical Activity,22998870,Matta S (2012)
816,TARDBP,ELAVL1,0.724,0.405,0.284,0.872,Multiple Sclerosis,913294,23435,1994,117003,108309,Affinity Capture-MS,20020773,Freibaum BD (2010)
817,CD2,PTPRC,0.406,0.292,0.72,0.872,Amyotrophic Lateral Sclerosis (ALS),277746,914,5788,107352,111752,Reconstituted Complex,1970422,Schraven B (1990)
818,DDX5,FUS,0.153,0.63,0.625,0.872,Multiple Sclerosis,3439047,1655,2521,108021,108797,Co-fractionation,35831314,Havugimana PC (2022)
819,LRRK2,STUB1,0,0.811,0.352,0.872,Parkinson's,546906,120892,10273,125700,115563,Affinity Capture-Western,19196961,Ko HS (2009)
820,LRRK2,SH3GL3,0,0.313,0.822,0.872,Parkinson's,722626,120892,6457,125700,112354,Biochemical Activity,22998870,Matta S (2012)
821,MDH2,NDUFV1,0.716,0.088,0.543,0.873,Friedreich ataxia,2853355,4191,4723,110356,110802,Proximity Label-MS,32877691,Antonicka H (2020)
822,HNRNPA0,HNRNPH3,0.5,0.536,0.496,0.873,Multiple Sclerosis,827720,10949,3189,116149,109430,Two-hybrid,22365833,Hegele A (2012)
823,HP,SERPINA3,0.161,0.241,0.816,0.873,Alzheimers,2951963,3240,12,109480,106530,Affinity Capture-MS,24981860,Marcon E (2014)
824,VAPB,OSBPL3,0.042,0.78,0.446,0.873,Multiple Sclerosis,948235,9217,26031,114650,117497,Affinity Capture-MS,24885147,Baron Y (2014)
825,SNCA,STUB1,0,0.625,0.676,0.873,Parkinson's,608547,6622,10273,112506,115563,Affinity Capture-Western,21358815,Kalia LV (2011)
826,HNRNPU,TARDBP,0.762,0.21,0.385,0.874,Multiple Sclerosis,3448297,3192,23435,109433,117003,Co-fractionation,35831314,Havugimana PC (2022)
827,HNRNPA0,U2AF2,0.521,0.65,0.309,0.874,Multiple Sclerosis,827713,10949,11338,116149,116466,Two-hybrid,22365833,Hegele A (2012)
828,HNRNPH2,HNRNPK,0.234,0.434,0.574,0.874,Multiple Sclerosis,1444902,3188,3190,109429,109431,Affinity Capture-MS,26496610,Hein MY (2015)
829,LRRK2,YWHAZ,0.082,0.848,0.17,0.874,Parkinson's,722611,120892,7534,125700,113366,Affinity Capture-MS,20642453,Nichols RJ (2010)
830,FRAT1,GSK3A,0.062,0.764,0.477,0.874,Alzheimers,1444698,10023,2931,115340,109186,Affinity Capture-MS,26496610,Hein MY (2015)
831,HSCB,NFU1,0.06,0.292,0.826,0.874,Friedreich ataxia,2812177,150274,27247,127276,118095,Affinity Capture-MS,28380382,Maio N (2017)
832,RB1CC1,SMCR8,0,0.166,0.507,0.875,Multiple Sclerosis,446502,9821,140775,115160,126704,Affinity Capture-MS,20562859,Behrends C (2010)
833,HNRNPF,U2AF2,0.638,0.308,0.548,0.876,Multiple Sclerosis,744255,3185,11338,109426,116466,Co-fractionation,22939629,Havugimana PC (2012)
834,HNRNPM,SYNCRIP,0.539,0.214,0.686,0.876,Multiple Sclerosis,744727,4670,10492,110751,115755,Co-fractionation,22939629,Havugimana PC (2012)
835,PDHA1,SDHA,0.216,0.333,0.783,0.876,Friedreich ataxia,2361992,5160,6389,111186,112290,Affinity Capture-MS,29128334,Malty RH (2017)
836,HSPA9,AFG3L2,0.214,0.212,0.814,0.876,Friedreich ataxia,2940586,3313,10939,109545,116139,Proximity Label-MS,33957083,Piette BL (2021)
837,DDX58,G3BP1,0.042,0.292,0.832,0.876,Multiple Sclerosis,2810504,23586,10146,117121,115448,Affinity Capture-Western,31827077,Yang W (2019)
838,MATR3,HNRNPH2,0.126,0.305,0.814,0.877,Multiple Sclerosis,1444893,9782,3188,115126,109429,Affinity Capture-MS,26496610,Hein MY (2015)
839,DHX9,HNRNPH1,0.652,0.19,0.604,0.878,Multiple Sclerosis,3354190,1660,3187,108025,109428,Affinity Capture-MS,35271311,Cho NH (2022)
840,NDUFV1,PDHA1,0.262,0.329,0.772,0.878,Friedreich ataxia,1266354,4723,5160,110802,111186,Co-fractionation,26344197,Wan C (2015)
841,TAX1BP1,UBC,0.115,0.808,0.341,0.878,Multiple Sclerosis,1509382,8887,7316,114405,113164,Co-crystal Structure,26451915,Tumbarello DA (2015)
842,SFN,YWHAZ,0.109,0.739,0.06,0.878,Parkinson's,1175860,2810,7534,109072,113366,Affinity Capture-MS,26186194,Huttlin EL (2015)
843,SNCA,UBC,0.067,0.541,0.498,0.878,Multiple Sclerosis,555661,6622,7316,112506,113164,FRET,11603807,Sharma N (2001)
844,MAPT,TIA1,0,0.481,0.775,0.878,Parkinson's,2632636,4137,7072,110308,112928,Affinity Capture-Western,27160897,Vanderweyde T (2016)
845,NCSTN,BACE1,0,0.292,0.835,0.878,Alzheimers,304190,23385,23621,116961,117154,Reconstituted Complex,12054507,Hattori C (2002)
846,ATXN3,HTT,0,0.292,0.836,0.878,Parkinson's,2634625,4287,3064,110433,109314,Affinity Capture-Western,30994454,Gao R (2019)
847,HNRNPH1,RALY,0.382,0.649,0.489,0.879,Multiple Sclerosis,745323,3187,22913,109428,116575,Co-fractionation,22939629,Havugimana PC (2012)
848,RB1CC1,TBK1,0.242,0.591,0.642,0.879,Multiple Sclerosis,446506,9821,29110,115160,118878,Affinity Capture-MS,20562859,Behrends C (2010)
849,HDAC6,MAPT,0,0.787,0.454,0.879,Parkinson's,479362,10013,4137,115330,110308,Reconstituted Complex,18636984,Ding H (2008)
850,ELAVL1,SSB,0.683,0.192,0.569,0.88,Multiple Sclerosis,663477,1994,6741,108309,112619,Affinity Capture-RNA,19322201,Abdelmohsen K (2009)
851,ELAVL1,HNRNPF,0.663,0.207,0.588,0.88,Multiple Sclerosis,664285,1994,3185,108309,109426,Affinity Capture-RNA,19322201,Abdelmohsen K (2009)
852,HNRNPDL,TARDBP,0.35,0.207,0.786,0.88,Multiple Sclerosis,3430886,9987,23435,115308,117003,Co-fractionation,35831314,Havugimana PC (2022)
853,RAB3A,SNCA,0.084,0.512,0.754,0.88,Parkinson's,732989,5864,6622,111802,112506,Affinity Capture-Western,15207266,Dalfo E (2004)
854,APP,LRP8,0.051,0.312,0.831,0.88,Alzheimers,2811448,351,7804,106848,113579,Affinity Capture-Western,17428983,He X (2007)
855,LYRM2,NDUFAB1,0.049,0.781,0.471,0.88,Friedreich ataxia,1525237,57226,4706,121461,110786,Affinity Capture-MS,27499296,Floyd BJ (2016)
856,SFPQ,SRSF3,0.737,0.205,0.479,0.881,Multiple Sclerosis,744809,6421,6428,112319,112326,Co-fractionation,22939629,Havugimana PC (2012)
857,HNRNPU,PABPC1,0.422,0.205,0.762,0.881,Multiple Sclerosis,744132,3192,26986,109433,117939,Co-fractionation,22939629,Havugimana PC (2012)
858,TNFRSF4,TNFRSF9,0.19,0.292,0.81,0.881,Amyotrophic Lateral Sclerosis (ALS),717961,7293,3604,113144,109817,Affinity Capture-Western,15941918,Ma BY (2005)
859,TARDBP,APP,0.042,0.047,0.88,0.881,Alzheimers,738510,23435,351,117003,106848,Reconstituted Complex,21832049,Olah J (2011)
860,IFNA5,IFNA16,0.53,0.61,0.046,0.882,Amyotrophic Lateral Sclerosis (ALS),3162794,3442,3449,109665,109672,Affinity Capture-MS,33961781,Huttlin EL (2021)
861,EIF4A3,HNRNPM,0.453,0.613,0.487,0.882,Multiple Sclerosis,811464,9775,4670,115119,110751,Affinity Capture-MS,23084401,Singh G (2012)
862,HNRNPU,SRSF7,0.404,0.205,0.635,0.882,Multiple Sclerosis,743422,3192,6432,109433,112330,Co-fractionation,22939629,Havugimana PC (2012)
863,HNRNPA1,RALY,0.393,0.509,0.637,0.882,Multiple Sclerosis,1184551,3178,22913,109420,116575,Affinity Capture-MS,26186194,Huttlin EL (2015)
864,IFNA1,IFNA6,0.149,0.784,0.048,0.882,Amyotrophic Lateral Sclerosis (ALS),2219165,3439,3443,109662,109666,Affinity Capture-MS,28514442,Huttlin EL (2017)
865,NDUFS3,TIMMDC1,0.118,0.591,0.425,0.882,Alzheimers,1524530,4722,51300,110801,119451,Affinity Capture-MS,27499296,Floyd BJ (2016)
866,ATXN2,SH3GL3,0,0.615,0.707,0.882,Parkinson's,720980,6311,6457,112218,112354,Two-hybrid,16713569,Lim J (2006)
867,HNRNPA1,RBM14,0.667,0.599,0.193,0.883,Multiple Sclerosis,669379,3178,10432,109420,115700,Affinity Capture-MS,22446626,Close P (2012)
868,SFPQ,EWSR1,0.452,0.56,0.553,0.883,Multiple Sclerosis,2233151,6421,2130,112319,108431,Affinity Capture-MS,28514442,Huttlin EL (2017)
869,HNRNPA2B1,HNRNPH2,0.141,0.472,0.622,0.883,Multiple Sclerosis,1263157,3181,3188,109422,109429,Co-fractionation,26344197,Wan C (2015)
870,APOA1,SNCA,0.067,0.51,0.625,0.883,Alzheimers,2691900,335,6622,106832,112506,Affinity Capture-Western,28887769,Emamzadeh FN (2017)
871,FUNDC1,HSPA8,0,0.292,0.842,0.883,Parkinson's,2614376,139341,3312,126561,109544,Co-localization,30591555,Li Y (2019)
872,IL20RA,STAT3,0,0.23,0.721,0.883,Amyotrophic Lateral Sclerosis (ALS),2236589,53832,6774,119804,112651,Affinity Capture-MS,28514442,Huttlin EL (2017)
873,TARDBP,TAF15,0.669,0.125,0.631,0.884,Multiple Sclerosis,3449709,23435,8148,117003,113807,Co-fractionation,35831314,Havugimana PC (2022)
874,FUS,SNRNP70,0.663,0.466,0.408,0.884,Multiple Sclerosis,2644096,2521,6625,108797,112509,Affinity Capture-MS,29884807,Chi B (2018)
875,U2AF2,SNRPD3,0.509,0.154,0.466,0.884,Multiple Sclerosis,3440929,11338,6634,116466,112518,Co-fractionation,35831314,Havugimana PC (2022)
876,MDH2,PDHA1,0.436,0.209,0.761,0.884,Friedreich ataxia,2853372,4191,5160,110356,111186,Proximity Label-MS,32877691,Antonicka H (2020)
877,RBMX,SRSF9,0.246,0.663,0.331,0.884,Multiple Sclerosis,3367199,27316,8683,118134,114231,Affinity Capture-MS,35271311,Cho NH (2022)
878,MRPL41,RPS9,0.158,0.851,0.154,0.884,Friedreich ataxia,3057186,64975,6203,122363,112117,Affinity Capture-MS,33961781,Huttlin EL (2021)
879,SQSTM1,VCP,0.101,0.329,0.824,0.884,Parkinson's,3306838,8878,7415,114397,113258,Proximity Label-MS,33545068,Zellner S (2021)
880,FN1,APCS,0,0.292,0.844,0.884,Alzheimers,303124,2335,325,108621,106822,Affinity Capture-Western,12100475,Sen JW (2002)
881,SFPQ,U2AF2,0.628,0.527,0.401,0.885,Multiple Sclerosis,611575,6421,11338,112319,116466,Affinity Capture-Western,21566083,Liu L (2011)
882,CPSF6,NONO,0.507,0.205,0.73,0.885,Multiple Sclerosis,744803,11052,4841,116238,110904,Co-fractionation,22939629,Havugimana PC (2012)
883,IFNA5,IFNA4,0.252,0.761,0.05,0.885,Amyotrophic Lateral Sclerosis (ALS),1197571,3442,3441,109665,109664,Affinity Capture-MS,26186194,Huttlin EL (2015)
884,TTR,CLU,0.099,0.3,0.833,0.885,Alzheimers,697818,7276,1191,113127,107603,Reconstituted Complex,19664600,Lee KW (2009)
885,MATR3,ILF2,0.097,0.43,0.796,0.885,Multiple Sclerosis,1445061,9782,3608,115126,109821,Affinity Capture-MS,26496610,Hein MY (2015)
886,BRAF,SFN,0.067,0.785,0.473,0.885,Parkinson's,2396657,673,2810,107141,109072,Affinity Capture-MS,27034005,Eisenhardt AE (2016)
887,IFNL1,STAT1,0.056,0.174,0.74,0.885,Amyotrophic Lateral Sclerosis (ALS),3168814,282618,6772,129396,112649,Affinity Capture-MS,33961781,Huttlin EL (2021)
888,RNF31,TRAF6,0,0.292,0.678,0.885,Multiple Sclerosis,2383344,55072,7189,120389,113041,Biochemical Activity,28319114,Kliza K (2017)
889,HNRNPA1,TAF15,0.749,0.442,0.254,0.886,Multiple Sclerosis,1448432,3178,8148,109420,113807,Affinity Capture-MS,26496610,Hein MY (2015)
890,SRSF3,KHDRBS1,0.544,0.216,0.706,0.886,Multiple Sclerosis,1263875,6428,10657,112326,115900,Co-fractionation,26344197,Wan C (2015)
891,INS,SRC,0.082,0.124,0.792,0.886,Alzheimers,2877374,3630,6714,109842,112592,Affinity Capture-MS,32457219,Tran DT (2020)
892,ABL1,YAP1,0.073,0.314,0.37,0.886,Parkinson's,1023691,25,10413,106543,115684,Biochemical Activity,18280240,Levy D (2008)
893,NOTCH1,APP,0.049,0.538,0.761,0.886,Alzheimers,658264,4851,351,110913,106848,Phenotypic Suppression,17368826,Kim SY (2007)
894,FXN,GLRX5,0.049,0.162,0.726,0.886,Friedreich ataxia,2624612,2395,51218,108677,119386,Co-fractionation,31536960,Moutaoufik MT (2019)
895,VCP,RPS27A,0.1,0.565,0.492,0.887,Multiple Sclerosis,3374898,7415,6233,113258,112147,Affinity Capture-MS,35271311,Cho NH (2022)
896,STAT3,TRAF6,0.09,0.51,0.767,0.887,Amyotrophic Lateral Sclerosis (ALS),814741,6774,7189,112651,113041,Affinity Capture-Western,23185365,Wei J (2012)
897,LRRK2,SH3GL2,0,0.524,0.772,0.887,Parkinson's,722624,120892,6456,125700,112353,Biochemical Activity,22998870,Matta S (2012)
898,MATR3,HNRNPA2B1,0.122,0.449,0.787,0.888,Multiple Sclerosis,1444868,9782,3181,115126,109422,Affinity Capture-MS,26496610,Hein MY (2015)
899,MARK3,YWHAG,0.06,0.79,0.48,0.888,Parkinson's,2547583,4140,7532,110310,113364,Affinity Capture-MS,29089450,Sandi MJ (2017)
900,CHCHD10,CHCHD2,0.048,0.698,0.409,0.888,Parkinson's,1524418,400916,51142,134810,119326,Affinity Capture-MS,27499296,Floyd BJ (2016)
901,GSAP,PSEN1,0.047,0.301,0.845,0.888,Alzheimers,1105131,54103,5663,119901,111642,Affinity Capture-Western,20811458,He G (2010)
902,ELAVL1,PABPC1,0.249,0,0.848,0.889,Multiple Sclerosis,663596,1994,26986,108309,117939,Affinity Capture-RNA,19322201,Abdelmohsen K (2009)
903,SNCA,SQSTM1,0.042,0.611,0.727,0.889,Parkinson's,2752988,6622,8878,112506,114397,Co-localization,31447645,Du T (2019)
904,PINK1,HSP90AB1,0,0.454,0.805,0.889,Parkinson's,719841,65018,3326,122376,109558,Affinity Capture-MS,18003639,Weihofen A (2008)
905,HNRNPR,HNRNPA0,0.774,0.248,0.406,0.89,Multiple Sclerosis,744932,10236,10949,115530,116149,Co-fractionation,22939629,Havugimana PC (2012)
906,RAB29,BAG5,0.049,0.292,0.851,0.89,Parkinson's,2513153,8934,9529,114447,114905,Affinity Capture-Western,24510904,Beilina A (2014)
907,SFPQ,CPSF6,0.654,0,0.699,0.891,Multiple Sclerosis,3440077,6421,11052,112319,116238,Co-fractionation,35831314,Havugimana PC (2022)
908,PCBP1,SRSF3,0.525,0.42,0.419,0.891,Multiple Sclerosis,721102,5093,6428,111126,112326,Two-hybrid,16713569,Lim J (2006)
909,EIF4A3,SRSF9,0.243,0.641,0.292,0.891,Multiple Sclerosis,811329,9775,8683,115119,114231,Affinity Capture-MS,23084401,Singh G (2012)
910,DDX5,HNRNPH2,0.128,0.506,0.767,0.891,Multiple Sclerosis,828185,1655,3188,108021,109429,Two-hybrid,22365833,Hegele A (2012)
911,TOMM40,CYC1,0.586,0.237,0.396,0.892,Alzheimers,1260620,10452,1537,115716,107917,Co-fractionation,26344197,Wan C (2015)
912,BCL2L1,RAF1,0.058,0.677,0.674,0.892,Parkinson's,1504549,598,5894,107070,111831,Co-localization,25241761,Chen TC (2014)
913,HNRNPA1,SNRPD3,0.681,0.571,0.281,0.893,Multiple Sclerosis,669157,3178,6634,109420,112518,Affinity Capture-MS,22446626,Close P (2012)
914,IFNA1,IFNA21,0.259,0.775,0.047,0.893,Amyotrophic Lateral Sclerosis (ALS),2218087,3439,3452,109662,109674,Affinity Capture-MS,28514442,Huttlin EL (2017)
915,MATR3,DDX5,0.073,0.465,0.803,0.894,Multiple Sclerosis,1444147,9782,1655,115126,108021,Affinity Capture-MS,26496610,Hein MY (2015)
916,TP53,CDC25C,0.072,0,0.791,0.894,Parkinson's,3488480,7157,995,113010,107430,Co-localization,21930790,Liu K (2011)
917,FN1,CRP,0.059,0.292,0.855,0.894,Alzheimers,301948,2335,1401,108621,107791,Reconstituted Complex,6693419,Salonen EM (1984)
918,HDAC4,YWHAQ,0.046,0.882,0.132,0.894,Parkinson's,502988,9759,10971,115106,116168,Two-hybrid,15964851,Wang AH (2005)
919,APOA1,SAA2,0.042,0.23,0.727,0.894,Alzheimers,327833,335,6289,106832,112197,Two-hybrid,11991719,Ritter M (2002)
920,DHX9,SRSF1,0.656,0.236,0.633,0.895,Multiple Sclerosis,743240,1660,6426,108025,112324,Co-fractionation,22939629,Havugimana PC (2012)
921,HNRNPDL,HNRNPF,0.251,0.283,0.821,0.895,Multiple Sclerosis,745792,9987,3185,115308,109426,Co-fractionation,22939629,Havugimana PC (2012)
922,TGFB1,APP,0.044,0.627,0.73,0.895,Alzheimers,1505011,7040,351,112898,106848,Co-localization,25241761,Chen TC (2014)
923,HNRNPU,SRSF3,0.662,0.205,0.432,0.896,Multiple Sclerosis,744291,3192,6428,109433,112326,Co-fractionation,22939629,Havugimana PC (2012)
924,PSMD14,UBQLN1,0.177,0.702,0.609,0.896,Multiple Sclerosis,946404,10213,29979,115508,119007,Affinity Capture-MS,17323924,Wang X (2007)
925,CLU,SERPINA1,0.076,0.235,0.865,0.896,Alzheimers,2950904,1191,5265,107603,111283,Affinity Capture-MS,24981860,Marcon E (2014)
926,FYN,HSP90AA1,0,0.63,0.485,0.896,Alzheimers,616048,2534,3320,108810,109552,Affinity Capture-Western,16888650,Loewenberg M (2006)
927,CS,HSPD1,0.148,0.169,0.743,0.897,Friedreich ataxia,2984531,1431,3329,107818,109561,Proximity Label-MS,34079125,Go CD (2021)
928,IL17RA,TRAF6,0.116,0.516,0.779,0.897,Amyotrophic Lateral Sclerosis (ALS),341214,23765,7189,117265,113041,Affinity Capture-Western,17346928,Rong Z (2007)
929,APP,GSK3B,0.108,0.606,0.73,0.897,Alzheimers,664404,351,2932,106848,109187,Affinity Capture-Western,22613765,Zhou F (2012)
930,CTSB,MMP9,0.086,0.292,0.766,0.897,Alzheimers,2542602,1508,4318,107888,110461,Affinity Capture-MS,26208400,Cantres-Rosario YM (2015)
931,HNRNPC,PTBP2,0.084,0.621,0.728,0.897,Multiple Sclerosis,827728,3183,58155,109424,121796,Two-hybrid,22365833,Hegele A (2012)
932,SNCA,SOD1,0.053,0.292,0.859,0.897,Alzheimers,2757131,6622,6647,112506,112530,PCA,26643113,Helferich AM (2015)
933,MAPT,SRC,0,0.685,0.686,0.897,Alzheimers,2618033,4137,6714,110308,112592,Affinity Capture-Western,16014719,Derkinderen P (2005)
934,ELAVL1,HNRNPM,0.701,0.233,0.591,0.898,Multiple Sclerosis,2813530,1994,4670,108309,110751,Proximity Label-MS,29395067,Youn JY (2018)
935,HSPD1,VDAC1,0.548,0.188,0.513,0.898,Friedreich ataxia,2629003,3329,7416,109561,113259,Co-fractionation,31536960,Moutaoufik MT (2019)
936,HNRNPDL,SRSF3,0.51,0.274,0.735,0.898,Multiple Sclerosis,745707,9987,6428,115308,112326,Co-fractionation,22939629,Havugimana PC (2012)
937,U2AF2,EIF4A3,0.277,0.223,0.679,0.898,Multiple Sclerosis,1525865,11338,9775,116466,115119,Affinity Capture-MS,26641092,Whisenant TC (2015)
938,CCR5,JAK2,0.085,0.292,0.604,0.898,Amyotrophic Lateral Sclerosis (ALS),298161,1234,3717,107639,109920,Affinity Capture-Western,11278738,Wong M (2001)
939,APBB1,LRP8,0,0.292,0.862,0.898,Alzheimers,2811447,322,7804,106819,113579,Affinity Capture-Western,17428983,He X (2007)
940,HNRNPR,TARDBP,0.771,0.35,0.38,0.899,Multiple Sclerosis,744832,10236,23435,115530,117003,Co-fractionation,22939629,Havugimana PC (2012)
941,ILF3,KHDRBS1,0.738,0.238,0.538,0.899,Multiple Sclerosis,3358748,3609,10657,109822,115900,Affinity Capture-MS,35271311,Cho NH (2022)
942,ELAVL1,KHDRBS1,0.632,0.269,0.655,0.899,Multiple Sclerosis,2813538,1994,10657,108309,115900,Proximity Label-MS,29395067,Youn JY (2018)
